Series_Title,Overview,concatenated_text
D hng denglong gaogao gu,A young woman becomes the fourth wife of a wealthy lord and must learn to live with the strict rules and tensions within the household,D hng denglong gaogao gu A young woman becomes the fourth wife of a wealthy lord and must learn to live with the strict rules and tensions within the household
Dead Poets Society,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of selfexpression,Dead Poets Society Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of selfexpression
Stand by Me,After the death of one of his friends a writer recounts a childhood journey with his friends to find the body of a missing boy,Stand by Me After the death of one of his friends a writer recounts a childhood journey with his friends to find the body of a missing boy
Platoon,Chris Taylor a neophyte recruit in Vietnam finds himself caught in a battle of wills between two sergeants one good and the other evil A shrewd examination of the brutality of war and the duality of man in conflict,Platoon Chris Taylor a neophyte recruit in Vietnam finds himself caught in a battle of wills between two sergeants one good and the other evil A shrewd examination of the brutality of war and the duality of man in conflict
Paris Texas,Travis Henderson an aimless drifter who has been missing for four years wanders out of the desert and must reconnect with society himself his life and his family,Paris Texas Travis Henderson an aimless drifter who has been missing for four years wanders out of the desert and must reconnect with society himself his life and his family
Kaze no tani no Naushika,Warrior and pacifist Princess Nausica desperately struggles to prevent two warring nations from destroying themselves and their dying planet,Kaze no tani no Naushika Warrior and pacifist Princess Nausica desperately struggles to prevent two warring nations from destroying themselves and their dying planet
The Thing,A research team in Antarctica is hunted by a shapeshifting alien that assumes the appearance of its victims,The Thing A research team in Antarctica is hunted by a shapeshifting alien that assumes the appearance of its victims
Pink Floyd The Wall,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone,Pink Floyd The Wall A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone
Fitzcarraldo,The story of Brian Sweeney Fitzgerald an extremely determined man who intends to build an opera house in the middle of a jungle,Fitzcarraldo The story of Brian Sweeney Fitzgerald an extremely determined man who intends to build an opera house in the middle of a jungle
Fanny och Alexander,Two young Swedish children experience the many comedies and tragedies of their family the Ekdahls,Fanny och Alexander Two young Swedish children experience the many comedies and tragedies of their family the Ekdahls
Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator,Blade Runner A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator
The Elephant Man,A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a sideshow freak Behind his monstrous faade there is revealed a person of kindness intelligence and sophistication,The Elephant Man A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a sideshow freak Behind his monstrous faade there is revealed a person of kindness intelligence and sophistication
Life of Brian,Born on the original Christmas in the stable next door to Jesus Christ Brian of Nazareth spends his life being mistaken for a messiah,Life of Brian Born on the original Christmas in the stable next door to Jesus Christ Brian of Nazareth spends his life being mistaken for a messiah
The Deer Hunter,An indepth examination of the ways in which the US Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania,The Deer Hunter An indepth examination of the ways in which the US Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania
Rocky,A smalltime boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his selfrespect,Rocky A smalltime boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his selfrespect
Network,A television network cynically exploits a deranged former anchors ravings and revelations about the news media for its own profit,Network A television network cynically exploits a deranged former anchors ravings and revelations about the news media for its own profit
Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husbands aristocratic position in thcentury England,Barry Lyndon An Irish rogue wins the heart of a rich widow and assumes her dead husbands aristocratic position in thcentury England
Zerkalo,A dying man in his forties remembers his past His childhood his mother the war personal moments and things that tell of the recent history of all the Russian nation,Zerkalo A dying man in his forties remembers his past His childhood his mother the war personal moments and things that tell of the recent history of all the Russian nation
Chinatown,A private detective hired to expose an adulterer finds himself caught up in a web of deceit corruption and murder,Chinatown A private detective hired to expose an adulterer finds himself caught up in a web of deceit corruption and murder
Paper Moon,During the Great Depression a con man finds himself saddled with a young girl who may or may not be his daughter and the two forge an unlikely partnership,Paper Moon During the Great Depression a con man finds himself saddled with a young girl who may or may not be his daughter and the two forge an unlikely partnership
Viskningar och rop,When a woman dying of cancer in early twentiethcentury Sweden is visited by her two sisters longrepressed feelings between the siblings rise to the surface,Viskningar och rop When a woman dying of cancer in early twentiethcentury Sweden is visited by her two sisters longrepressed feelings between the siblings rise to the surface
Solaris,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane,Solaris A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane
Le samoura,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner,Le samoura After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner
Cool Hand Luke,A laid back Southern man is sentenced to two years in a rural prison but refuses to conform,Cool Hand Luke A laid back Southern man is sentenced to two years in a rural prison but refuses to conform
Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together,Persona A nurse is put in charge of a mute actress and finds that their personae are melding together
Andrei Rublev,The life times and afflictions of the fifteenthcentury Russian iconographer St Andrei Rublev,Andrei Rublev The life times and afflictions of the fifteenthcentury Russian iconographer St Andrei Rublev
La battaglia di Algeri,In the s fear and violence escalate as the people of Algiers fight for independence from the French government,La battaglia di Algeri In the s fear and violence escalate as the people of Algiers fight for independence from the French government
El ngel exterminador,The guests at an upperclass dinner party find themselves unable to leave,El ngel exterminador The guests at an upperclass dinner party find themselves unable to leave
What Ever Happened to Baby Jane,A former child star torments her paraplegic sister in their decaying Hollywood mansion,What Ever Happened to Baby Jane A former child star torments her paraplegic sister in their decaying Hollywood mansion
Sanjuro,A crafty samurai helps a young man and his fellow clansmen save his uncle who has been framed and imprisoned by a corrupt superintendent,Sanjuro A crafty samurai helps a young man and his fellow clansmen save his uncle who has been framed and imprisoned by a corrupt superintendent
The Man Who Shot Liberty Valance,A senator returns to a western town for the funeral of an old friend and tells the story of his origins,The Man Who Shot Liberty Valance A senator returns to a western town for the funeral of an old friend and tells the story of his origins
Ivanovo detstvo,In WW twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers,Ivanovo detstvo In WW twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers
Jungfrukllan,An innocent yet pampered young virgin and her familys pregnant and jealous servant set out to deliver candles to church but only one returns from events that transpire in the woods along the way,Jungfrukllan An innocent yet pampered young virgin and her familys pregnant and jealous servant set out to deliver candles to church but only one returns from events that transpire in the woods along the way
Inherit the Wind,Based on a reallife case in two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution,Inherit the Wind Based on a reallife case in two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution
Les quatre cents coups,A young boy left without attention delves into a life of petty crime,Les quatre cents coups A young boy left without attention delves into a life of petty crime
BenHur,After a Jewish prince is betrayed and sent into slavery by a Roman friend he regains his freedom and comes back for revenge,BenHur After a Jewish prince is betrayed and sent into slavery by a Roman friend he regains his freedom and comes back for revenge
Kakushitoride no sanakunin,Lured by gold two greedy peasants unknowingly escort a princess and her general across enemy lines,Kakushitoride no sanakunin Lured by gold two greedy peasants unknowingly escort a princess and her general across enemy lines
Le notti di Cabiria,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak,Le notti di Cabiria A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak
Kumonosuj,A warhardened general egged on by his ambitious wife works to fulfill a prophecy that he would become lord of Spiders Web Castle,Kumonosuj A warhardened general egged on by his ambitious wife works to fulfill a prophecy that he would become lord of Spiders Web Castle
The Bridge on the River Kwai,British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors not knowing that the allied forces are planning to destroy it,The Bridge on the River Kwai British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors not knowing that the allied forces are planning to destroy it
On the Waterfront,An exprize fighter turned longshoreman struggles to stand up to his corrupt union bosses,On the Waterfront An exprize fighter turned longshoreman struggles to stand up to his corrupt union bosses
Le salaire de la peur,In a decrepit South American village four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe,Le salaire de la peur In a decrepit South American village four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe
Ace in the Hole,A frustrated former bigcity journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career but the situation quickly escalates into an outofcontrol circus,Ace in the Hole A frustrated former bigcity journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career but the situation quickly escalates into an outofcontrol circus
White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist,White Heat A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist
The Third Man,Pulp novelist Holly Martins travels to shadowy postwar Vienna only to find himself investigating the mysterious death of an old friend Harry Lime,The Third Man Pulp novelist Holly Martins travels to shadowy postwar Vienna only to find himself investigating the mysterious death of an old friend Harry Lime
The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina,The Red Shoes A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina
The Shop Around the Corner,Two employees at a gift shop can barely stand each other without realizing that they are falling in love through the post as each others anonymous pen pal,The Shop Around the Corner Two employees at a gift shop can barely stand each other without realizing that they are falling in love through the post as each others anonymous pen pal
Rebecca,A selfconscious woman juggles adjusting to her new role as an aristocrats wife and avoiding being intimidated by his first wifes spectral presence,Rebecca A selfconscious woman juggles adjusting to her new role as an aristocrats wife and avoiding being intimidated by his first wifes spectral presence
Mr Smith Goes to Washington,A naive man is appointed to fill a vacancy in the United States Senate His plans promptly collide with political corruption but he doesnt back down,Mr Smith Goes to Washington A naive man is appointed to fill a vacancy in the United States Senate His plans promptly collide with political corruption but he doesnt back down
Gone with the Wind,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods,Gone with the Wind A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods
La Grande Illusion,During WWI two French soldiers are captured and imprisoned in a German POW camp Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress,La Grande Illusion During WWI two French soldiers are captured and imprisoned in a German POW camp Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress
It Happened One Night,A renegade reporter and a crazy young heiress meet on a bus heading for New York and end up stuck with each other when the bus leaves them behind at one of the stops,It Happened One Night A renegade reporter and a crazy young heiress meet on a bus heading for New York and end up stuck with each other when the bus leaves them behind at one of the stops
La passion de Jeanne dArc,In Jeanne dArc is placed on trial on charges of heresy The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions,La passion de Jeanne dArc In Jeanne dArc is placed on trial on charges of heresy The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions
The Circus,The Tramp finds work and the girl of his dreams at a circus,The Circus The Tramp finds work and the girl of his dreams at a circus
Sunrise A Song of Two Humans,An allegorical tale about a man fighting the good and evil within him Both sides are made flesh one a sophisticated woman he is attracted to and the other his wife,Sunrise A Song of Two Humans An allegorical tale about a man fighting the good and evil within him Both sides are made flesh one a sophisticated woman he is attracted to and the other his wife
The General,When Union spies steal an engineers beloved locomotive he pursues it singlehandedly and straight through enemy lines,The General When Union spies steal an engineers beloved locomotive he pursues it singlehandedly and straight through enemy lines
Das Cabinet des Dr Caligari,Hypnotist Dr Caligari uses a somnambulist Cesare to commit murders,Das Cabinet des Dr Caligari Hypnotist Dr Caligari uses a somnambulist Cesare to commit murders
Badhaai ho,A man is embarrassed when he finds out his mother is pregnant,Badhaai ho A man is embarrassed when he finds out his mother is pregnant
Togo,The story of Togo the sled dog who led the serum run yet was considered by most to be too small and weak to lead such an intense race,Togo The story of Togo the sled dog who led the serum run yet was considered by most to be too small and weak to lead such an intense race
Airlift,When Iraq invades Kuwait in August a callous Indian businessman becomes the spokesperson for more than stranded countrymen,Airlift When Iraq invades Kuwait in August a callous Indian businessman becomes the spokesperson for more than stranded countrymen
Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family,Bajrangi Bhaijaan An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family
Baby,An elite counterintelligence unit learns of a plot masterminded by a maniacal madman With the clock ticking its up to them to track the terrorists international tentacles and prevent them from striking at the heart of India,Baby An elite counterintelligence unit learns of a plot masterminded by a maniacal madman With the clock ticking its up to them to track the terrorists international tentacles and prevent them from striking at the heart of India
La La Land,While navigating their careers in Los Angeles a pianist and an actress fall in love while attempting to reconcile their aspirations for the future,La La Land While navigating their careers in Los Angeles a pianist and an actress fall in love while attempting to reconcile their aspirations for the future
Lion,A fiveyearold Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home years later he sets out to find his lost family,Lion A fiveyearold Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home years later he sets out to find his lost family
The Martian,An astronaut becomes stranded on Mars after his team assume him dead and must rely on his ingenuity to find a way to signal to Earth that he is alive,The Martian An astronaut becomes stranded on Mars after his team assume him dead and must rely on his ingenuity to find a way to signal to Earth that he is alive
Zootopia,In a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy,Zootopia In a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy
Bhubali The Beginning,In ancient India an adventurous and daring man becomes involved in a decadesold feud between two warring peoples,Bhubali The Beginning In ancient India an adventurous and daring man becomes involved in a decadesold feud between two warring peoples
Kaguyahime no monogatari,Found inside a shining stalk of bamboo by an old bamboo cutter and his wife a tiny girl grows rapidly into an exquisite young lady The mysterious young princess enthralls all who encounter her but ultimately she must confront her fate the punishment for her crime,Kaguyahime no monogatari Found inside a shining stalk of bamboo by an old bamboo cutter and his wife a tiny girl grows rapidly into an exquisite young lady The mysterious young princess enthralls all who encounter her but ultimately she must confront her fate the punishment for her crime
Wonder,Based on the New York Times bestseller this movie tells the incredibly inspiring and heartwarming story of August Pullman a boy with facial differences who enters the fifth grade attending a mainstream elementary school for the first time,Wonder Based on the New York Times bestseller this movie tells the incredibly inspiring and heartwarming story of August Pullman a boy with facial differences who enters the fifth grade attending a mainstream elementary school for the first time
Gully Boy,A comingofage story based on the lives of street rappers in Mumbai,Gully Boy A comingofage story based on the lives of street rappers in Mumbai
Special Chabbis,A gang of conmen rob prominent rich businessmen and politicians by posing as CBI and income tax officers,Special Chabbis A gang of conmen rob prominent rich businessmen and politicians by posing as CBI and income tax officers
Short Term,A something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her coworker and longtime boyfriend,Short Term A something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her coworker and longtime boyfriend
Serbuan maut Berandal,Only a short time after the first raid Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force,Serbuan maut Berandal Only a short time after the first raid Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force
The Imitation Game,During World War II the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians,The Imitation Game During World War II the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians
Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe,Guardians of the Galaxy A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe
Blade Runner,Young Blade Runner Ks discovery of a longburied secret leads him to track down former Blade Runner Rick Deckard whos been missing for thirty years,Blade Runner Young Blade Runner Ks discovery of a longburied secret leads him to track down former Blade Runner Rick Deckard whos been missing for thirty years
Her,In a near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need,Her In a near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need
Bohemian Rhapsody,The story of the legendary British rock band Queen and lead singer Freddie Mercury leading up to their famous performance at Live Aid,Bohemian Rhapsody The story of the legendary British rock band Queen and lead singer Freddie Mercury leading up to their famous performance at Live Aid
The Revenant,A frontiersman on a fur trading expedition in the s fights for survival after being mauled by a bear and left for dead by members of his own hunting team,The Revenant A frontiersman on a fur trading expedition in the s fights for survival after being mauled by a bear and left for dead by members of his own hunting team
The Perks of Being a Wallflower,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,The Perks of Being a Wallflower An introvert freshman is taken under the wings of two seniors who welcome him to the real world
Tropa de Elite O Inimigo Agora Outro,After a prison riot formerCaptain Nascimento now a high ranking security officer in Rio de Janeiro is swept into a bloody political dispute that involves government officials and paramilitary groups,Tropa de Elite O Inimigo Agora Outro After a prison riot formerCaptain Nascimento now a high ranking security officer in Rio de Janeiro is swept into a bloody political dispute that involves government officials and paramilitary groups
The Kings Speech,The story of King George VI his impromptu ascension to the throne of the British Empire in and the speech therapist who helped the unsure monarch overcome his stammer,The Kings Speech The story of King George VI his impromptu ascension to the throne of the British Empire in and the speech therapist who helped the unsure monarch overcome his stammer
The Help,An aspiring author during the civil rights movement of the s decides to write a book detailing the African American maids point of view on the white families for which they work and the hardships they go through on a daily basis,The Help An aspiring author during the civil rights movement of the s decides to write a book detailing the African American maids point of view on the white families for which they work and the hardships they go through on a daily basis
Deadpool,A wisecracking mercenary gets experimented on and becomes immortal but ugly and sets out to track down the man who ruined his looks,Deadpool A wisecracking mercenary gets experimented on and becomes immortal but ugly and sets out to track down the man who ruined his looks
Darbareye Elly,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers,Darbareye Elly The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers
DevD,After breaking up with his childhood sweetheart a young man finds solace in drugs Meanwhile a teenage girl is caught in the world of prostitution Will they be destroyed or will they find redemption,DevD After breaking up with his childhood sweetheart a young man finds solace in drugs Meanwhile a teenage girl is caught in the world of prostitution Will they be destroyed or will they find redemption
Yip Man,During the Japanese invasion of China a wealthy martial artist is forced to leave his home when his city is occupied With little means of providing for themselves Ip Man and the remaining members of the city must find a way to survive,Yip Man During the Japanese invasion of China a wealthy martial artist is forced to leave his home when his city is occupied With little means of providing for themselves Ip Man and the remaining members of the city must find a way to survive
My Name Is Khan,An Indian Muslim man with Aspergers syndrome takes a challenge to speak to the President of the United States seriously and embarks on a crosscountry journey,My Name Is Khan An Indian Muslim man with Aspergers syndrome takes a challenge to speak to the President of the United States seriously and embarks on a crosscountry journey
Nefes Vatan Sagolsun,Story of man Turkish task force who must defend a relay station,Nefes Vatan Sagolsun Story of man Turkish task force who must defend a relay station
Slumdog Millionaire,A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of Who Wants to be a Millionaire,Slumdog Millionaire A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of Who Wants to be a Millionaire
Black Swan,A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovskys Swan Lake,Black Swan A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovskys Swan Lake
Tropa de Elite,In Rio de Janeiro Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits,Tropa de Elite In Rio de Janeiro Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits
The Avengers,Earths mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity,The Avengers Earths mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity
Persepolis,A precocious and outspoken Iranian girl grows up during the Islamic Revolution,Persepolis A precocious and outspoken Iranian girl grows up during the Islamic Revolution
Dallas Buyers Club,In Dallas electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease,Dallas Buyers Club In Dallas electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease
The Pursuit of Happyness,A struggling salesman takes custody of his son as hes poised to begin a lifechanging professional career,The Pursuit of Happyness A struggling salesman takes custody of his son as hes poised to begin a lifechanging professional career
Blood Diamond,A fisherman a smuggler and a syndicate of businessmen match wits over the possession of a priceless diamond,Blood Diamond A fisherman a smuggler and a syndicate of businessmen match wits over the possession of a priceless diamond
The Bourne Ultimatum,Jason Bourne dodges a ruthless CIA official and his Agents from a new assassination program while searching for the origins of his life as a trained killer,The Bourne Ultimatum Jason Bourne dodges a ruthless CIA official and his Agents from a new assassination program while searching for the origins of his life as a trained killer
Binjip,A transient young man breaks into empty homes to partake of the vacationing residents lives for a few days,Binjip A transient young man breaks into empty homes to partake of the vacationing residents lives for a few days
Sin City,A movie that explores the dark and miserable town Basin City tells the story of three different people all caught up in violent corruption,Sin City A movie that explores the dark and miserable town Basin City tells the story of three different people all caught up in violent corruption
Le scaphandre et le papillon,The true story of Elle editor JeanDominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body only his left eye isnt paralyzed,Le scaphandre et le papillon The true story of Elle editor JeanDominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body only his left eye isnt paralyzed
GORA,A slick young Turk kidnapped by extraterrestrials shows his great humanitarian spirit by outwitting the evil commanderinchief of the planet of GORA,GORA A slick young Turk kidnapped by extraterrestrials shows his great humanitarian spirit by outwitting the evil commanderinchief of the planet of GORA
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant,Ratatouille A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant
Casino Royale,After earning status and a licence to kill Secret Agent James Bond sets out on his first mission as Bond must defeat a private banker funding terrorists in a highstakes game of poker at Casino Royale Montenegro,Casino Royale After earning status and a licence to kill Secret Agent James Bond sets out on his first mission as Bond must defeat a private banker funding terrorists in a highstakes game of poker at Casino Royale Montenegro
Kill Bill Vol,The Bride continues her quest of vengeance against her former boss and lover Bill the reclusive bouncer Budd and the treacherous oneeyed Elle,Kill Bill Vol The Bride continues her quest of vengeance against her former boss and lover Bill the reclusive bouncer Budd and the treacherous oneeyed Elle
Vozvrashchenie,In the Russian wilderness two brothers face a range of new conflicting emotions when their father a man they know only through a single photograph resurfaces,Vozvrashchenie In the Russian wilderness two brothers face a range of new conflicting emotions when their father a man they know only through a single photograph resurfaces
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons,Bom Yeoareum Gaeul Gyeoul Geurigo Bom A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons
Mar adentro,The factual story of Spaniard Ramon Sampedro who fought a thirtyyear campaign in favor of euthanasia and his own right to die,Mar adentro The factual story of Spaniard Ramon Sampedro who fought a thirtyyear campaign in favor of euthanasia and his own right to die
Cinderella Man,The story of James J Braddock a supposedly washedup boxer who came back to become a champion and an inspiration in the s,Cinderella Man The story of James J Braddock a supposedly washedup boxer who came back to become a champion and an inspiration in the s
Kal Ho Naa Ho,Naina an introverted perpetually depressed girls life changes when she meets Aman But Aman has a secret of his own which changes their lives forever Embroiled in all this is Rohit Nainas best friend who conceals his love for her,Kal Ho Naa Ho Naina an introverted perpetually depressed girls life changes when she meets Aman But Aman has a secret of his own which changes their lives forever Embroiled in all this is Rohit Nainas best friend who conceals his love for her
Mou gaan dou,A story between a mole in the police department and an undercover cop Their objectives are the same to find out who is the mole and who is the cop,Mou gaan dou A story between a mole in the police department and an undercover cop Their objectives are the same to find out who is the mole and who is the cop
Pirates of the Caribbean The Curse of the Black Pearl,Blacksmith Will Turner teams up with eccentric pirate Captain Jack Sparrow to save his love the governors daughter from Jacks former pirate allies who are now undead,Pirates of the Caribbean The Curse of the Black Pearl Blacksmith Will Turner teams up with eccentric pirate Captain Jack Sparrow to save his love the governors daughter from Jacks former pirate allies who are now undead
Big Fish,A frustrated son tries to determine the fact from fiction in his dying fathers life,Big Fish A frustrated son tries to determine the fact from fiction in his dying fathers life
The Incredibles,A family of undercover superheroes while trying to live the quiet suburban life are forced into action to save the world,The Incredibles A family of undercover superheroes while trying to live the quiet suburban life are forced into action to save the world
Yeopgijeogin geunyeo,A young man sees a drunk cute woman standing too close to the tracks at a metro station in Seoul and pulls her back She ends up getting him into trouble repeatedly after that starting on the train,Yeopgijeogin geunyeo A young man sees a drunk cute woman standing too close to the tracks at a metro station in Seoul and pulls her back She ends up getting him into trouble repeatedly after that starting on the train
Dogville,A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor but when a search visits the town she finds out that their support has a price,Dogville A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor but when a search visits the town she finds out that their support has a price
Vizontele,Lives of residents in a small Anatolian village change when television is introduced to them,Vizontele Lives of residents in a small Anatolian village change when television is introduced to them
Donnie Darko,After narrowly escaping a bizarre accident a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes,Donnie Darko After narrowly escaping a bizarre accident a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes
Magnolia,An epic mosaic of interrelated characters in search of love forgiveness and meaning in the San Fernando Valley,Magnolia An epic mosaic of interrelated characters in search of love forgiveness and meaning in the San Fernando Valley
Dancer in the Dark,An East European girl travels to the United States with her young son expecting it to be like a Hollywood film,Dancer in the Dark An East European girl travels to the United States with her young son expecting it to be like a Hollywood film
The Straight Story,An old man makes a long journey by lawnmower to mend his relationship with an ill brother,The Straight Story An old man makes a long journey by lawnmower to mend his relationship with an ill brother
Pfekuto bur,A pop singer gives up her career to become an actress but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past,Pfekuto bur A pop singer gives up her career to become an actress but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past
Festen,At Helges th birthday party some unpleasant family truths are revealed,Festen At Helges th birthday party some unpleasant family truths are revealed
Central do Brasil,An emotive journey of a former school teacher who writes letters for illiterate people and a young boy whose mother has just died as they search for the father he never knew,Central do Brasil An emotive journey of a former school teacher who writes letters for illiterate people and a young boy whose mother has just died as they search for the father he never knew
The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy,The Iron Giant A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy
Knockin on Heavens Door,Two terminally ill patients escape from a hospital steal a car and rush towards the sea,Knockin on Heavens Door Two terminally ill patients escape from a hospital steal a car and rush towards the sea
Sling Blade,Karl Childers a simple man hospitalized since his childhood murder of his mother and her lover is released to start a new life in a small town,Sling Blade Karl Childers a simple man hospitalized since his childhood murder of his mother and her lover is released to start a new life in a small town
Secrets Lies,Following the death of her adoptive parents a successful young black optometrist establishes contact with her biological mother a lonely white factory worker living in poverty in East London,Secrets Lies Following the death of her adoptive parents a successful young black optometrist establishes contact with her biological mother a lonely white factory worker living in poverty in East London
Twelve Monkeys,In a future world devastated by disease a convict is sent back in time to gather information about the manmade virus that wiped out most of the human population on the planet,Twelve Monkeys In a future world devastated by disease a convict is sent back in time to gather information about the manmade virus that wiped out most of the human population on the planet
Kkaku Kidtai,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master,Kkaku Kidtai A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master
The Nightmare Before Christmas,Jack Skellington king of Halloween Town discovers Christmas Town but his attempts to bring Christmas to his home causes confusion,The Nightmare Before Christmas Jack Skellington king of Halloween Town discovers Christmas Town but his attempts to bring Christmas to his home causes confusion
Groundhog Day,A weatherman finds himself inexplicably living the same day over and over again,Groundhog Day A weatherman finds himself inexplicably living the same day over and over again
Bound by Honor,Based on the true life experiences of poet Jimmy Santiago Baca the film focuses on stepbrothers Paco and Cruz and their biracial cousin Miklo,Bound by Honor Based on the true life experiences of poet Jimmy Santiago Baca the film focuses on stepbrothers Paco and Cruz and their biracial cousin Miklo
Scent of a Woman,A prep school student needing money agrees to babysit a blind man but the job is not at all what he anticipated,Scent of a Woman A prep school student needing money agrees to babysit a blind man but the job is not at all what he anticipated
